episode,loss,acc,inf_ms,timestamp
0,1.5067352056503296,41.999998688697815,1.1003378400346264,2026-08-20T09:14:07.324109+00:00
1,1.5842455625534058,28.00000011920929,1.0350953000306617,2026-08-20T09:14:18.349352+00:00
2,1.542319893836975,39.99999761581421,1.0781787000451004,2026-08-20T09:14:29.186827+00:00
3,1.5554412603378296,37.99999952316284,1.0936481400131015,2026-08-20T09:14:40.153556+00:00
4,1.5837920904159546,28.00000011920929,1.2877861399465473,2026-08-20T09:14:51.225003+00:00
5,1.5420641899108887,47.999998927116394,1.095035899998038,2026-08-20T09:15:12.812426+00:00
6,1.5321393013000488,56.00000023841858,1.0353542400116567,2026-08-20T09:15:23.853125+00:00
7,1.566555380821228,28.00000011920929,1.0781023399613332,2026-08-20T09:15:34.551354+00:00
8,1.5353373289108276,45.99999785423279,1.0766086800140329,2026-08-20T09:15:55.797734+00:00
9,1.5150821208953857,31.999999284744263,1.1460064200218767,2026-08-20T09:16:06.459095+00:00
10,1.5379114151000977,35.999998450279236,1.0519039000064367,2026-08-20T09:16:28.437887+00:00
11,1.48258638381958,43.99999976158142,1.124067240016302,2026-08-20T09:16:49.862938+00:00
12,1.315089225769043,59.99999642372131,1.1256488200160675,2026-08-20T09:17:00.883279+00:00
13,1.2294484376907349,47.999998927116394,1.1061959200014826,2026-08-20T09:17:11.549356+00:00
14,1.1888012886047363,56.00000023841858,1.0715375599829713,2026-08-20T09:17:22.728898+00:00
15,1.3800262212753296,39.99999761581421,1.0594270600267919,2026-08-20T09:17:44.963196+00:00
16,1.2395058870315552,53.999996185302734,1.0685435000050347,2026-08-20T09:17:56.127277+00:00
17,1.2143176794052124,65.99999666213989,1.0620466399996076,2026-08-20T09:18:06.852557+00:00
18,1.5071913003921509,28.00000011920929,1.0410227200191002,2026-08-20T09:18:28.355363+00:00
19,1.2582812309265137,59.99999642372131,1.0948603999713669,2026-08-20T09:18:50.064898+00:00
20,1.4008044004440308,39.99999761581421,1.0416607200022554,2026-08-20T09:19:00.935870+00:00
21,1.3776782751083374,34.00000035762787,1.0497962399676908,2026-08-20T09:19:22.683174+00:00
22,1.2907065153121948,37.99999952316284,1.044719939964125,2026-08-20T09:19:33.333952+00:00
23,1.1481351852416992,56.00000023841858,1.0993759199482156,2026-08-20T09:19:43.965190+00:00
24,1.256742000579834,62.00000047683716,1.075285039987648,2026-08-20T09:19:55.031475+00:00
25,1.4705030918121338,35.999998450279236,1.1228669399861246,2026-08-20T09:20:17.269014+00:00
26,1.1917884349822998,43.99999976158142,1.0669947000133106,2026-08-20T09:20:28.061307+00:00
27,1.724945068359375,25.999999046325684,1.150491040025372,2026-08-20T09:20:39.051900+00:00
28,1.2262709140777588,47.999998927116394,1.0555074399599107,2026-08-20T09:20:49.809288+00:00
29,1.5534067153930664,25.999999046325684,1.3291254600335378,2026-08-20T09:21:00.705993+00:00
30,1.3340551853179932,43.99999976158142,1.0560378200170817,2026-08-20T09:21:11.625800+00:00
31,1.9071651697158813,14.000000059604645,1.0333719999471214,2026-08-20T09:21:32.691934+00:00
32,1.4524081945419312,37.99999952316284,1.0609845800354378,2026-08-20T09:21:43.259876+00:00
33,1.4233993291854858,39.99999761581421,1.0594692999438848,2026-08-20T09:22:04.537702+00:00
34,1.7228436470031738,29.999998211860657,1.0454555199976312,2026-08-20T09:22:25.773325+00:00
35,1.6030346155166626,17.999999225139618,1.0591241399379214,2026-08-20T09:22:46.720927+00:00
36,1.567946434020996,23.999999463558197,1.0334842800511979,2026-08-20T09:23:07.991994+00:00
37,1.4764360189437866,35.999998450279236,1.0450569400563836,2026-08-20T09:23:28.887810+00:00
38,1.5431160926818848,29.999998211860657,1.0300537000148324,2026-08-20T09:23:50.022522+00:00
