episode,loss,acc,inf_ms,timestamp
0,651.913818359375,18.571428954601288,0.04437797137403062,2026-07-31T22:45:36.494832+00:00
1,396.8054504394531,28.57142984867096,0.018229714312058474,2026-07-31T22:45:47.663560+00:00
2,234.38392639160156,22.857142984867096,0.016811042691447908,2026-07-31T22:45:58.448465+00:00
3,125.2900390625,22.857142984867096,0.01637050008866936,2026-07-31T22:46:09.166772+00:00
4,61.09502029418945,21.42857164144516,0.018521742978399352,2026-07-31T22:46:19.952688+00:00
5,31.073932647705078,35.71428656578064,0.01637707173358649,2026-07-31T22:46:42.252714+00:00
6,18.523239135742188,31.42857253551483,0.016114128603866056,2026-07-31T22:46:53.004426+00:00
7,9.409034729003906,30.000001192092896,0.017832957174895064,2026-07-31T22:47:03.719134+00:00
8,6.506778240203857,21.42857164144516,0.01651454284521086,2026-07-31T22:47:14.605132+00:00
9,4.1307244300842285,27.142858505249023,0.019693500196029032,2026-07-31T22:47:25.209086+00:00
10,2.5659737586975098,25.714287161827087,0.019217585629251386,2026-07-31T22:47:48.178187+00:00
11,1.9629874229431152,30.000001192092896,0.01755042841458427,2026-07-31T22:47:58.935779+00:00
12,1.575618863105774,25.714287161827087,0.01747654293597277,2026-07-31T22:48:09.731120+00:00
13,1.5882596969604492,21.42857164144516,0.018663614173419774,2026-07-31T22:48:20.434519+00:00
14,1.1618647575378418,31.42857253551483,0.01653780013189784,2026-07-31T22:48:42.706046+00:00
15,1.2486156225204468,22.857142984867096,0.018877699871414473,2026-07-31T22:48:53.453604+00:00
16,0.983883261680603,37.142857909202576,0.01877039986928659,2026-07-31T22:49:04.152194+00:00
17,0.9821689128875732,24.285714328289032,0.017114885434109186,2026-07-31T22:49:27.759451+00:00
18,1.0469025373458862,20.000000298023224,0.0187283568915778,2026-07-31T22:49:38.418287+00:00
19,0.9873424172401428,22.857142984867096,0.016101571548330997,2026-07-31T22:49:49.082040+00:00
20,1.004272699356079,18.571428954601288,0.016179114546892897,2026-07-31T22:49:59.965839+00:00
21,0.9937387704849243,17.142857611179352,0.016331742933419133,2026-07-31T22:50:22.273238+00:00
22,0.9800554513931274,24.285714328289032,0.01644509985843407,2026-07-31T22:50:33.476199+00:00
23,1.034867763519287,30.000001192092896,0.01734840001777879,2026-07-31T22:50:55.625610+00:00
24,1.0669413805007935,22.857142984867096,0.018085642867455527,2026-07-31T22:51:17.842844+00:00
25,1.090917706489563,15.714286267757416,0.016550599996532713,2026-07-31T22:51:28.966275+00:00
26,0.9910475611686707,27.142858505249023,0.01824255700090102,2026-07-31T22:51:51.161962+00:00
