episode,loss,acc,inf_ms,timestamp
0,5.80633544921875,34.00000035762787,1.1721121600203332,2026-07-28T08:56:49.929263+00:00
1,2.979578971862793,34.00000035762787,1.1503350000202772,2026-07-28T08:57:01.000431+00:00
2,2.0395588874816895,39.99999761581421,1.1385533000066062,2026-07-28T08:57:23.355162+00:00
3,1.8836003541946411,34.00000035762787,1.1889414599863812,2026-07-28T08:57:35.010720+00:00
4,2.0422372817993164,19.999998807907104,3.504062240026542,2026-07-28T08:57:57.241879+00:00
5,1.703619122505188,31.999999284744263,1.1699495999710052,2026-07-28T08:58:08.294882+00:00
6,2.004568576812744,23.999999463558197,1.1216224199961289,2026-07-28T08:58:30.195679+00:00
7,1.634306788444519,17.999999225139618,1.1350965999736218,2026-07-28T08:58:41.346393+00:00
8,1.7493709325790405,34.00000035762787,1.1344810599985067,2026-07-28T08:58:52.334739+00:00
9,1.6951305866241455,28.00000011920929,1.2211364399990998,2026-07-28T08:59:14.267541+00:00
10,1.5088610649108887,37.99999952316284,1.1520066800221684,2026-07-28T08:59:36.233574+00:00
11,1.5502690076828003,25.999999046325684,1.126173580014438,2026-07-28T08:59:58.185469+00:00
12,1.4792596101760864,31.999999284744263,1.1205834999782383,2026-07-28T09:00:09.521568+00:00
13,1.5045175552368164,37.99999952316284,1.15001348000078,2026-07-28T09:00:31.491104+00:00
14,1.541646122932434,37.99999952316284,1.1334620200068457,2026-07-28T09:00:42.564203+00:00
15,1.477951169013977,34.00000035762787,1.168557899982261,2026-07-28T09:00:53.973421+00:00
16,1.3817518949508667,50.0,1.1737802200150327,2026-07-28T09:01:05.251853+00:00
17,1.6191421747207642,19.999998807907104,1.1963609400118003,2026-07-28T09:01:27.941293+00:00
18,1.7044214010238647,28.00000011920929,1.142982839992328,2026-07-28T09:01:38.937813+00:00
19,1.3264122009277344,37.99999952316284,1.174791639969044,2026-07-28T09:02:01.073737+00:00
20,1.5223846435546875,31.999999284744263,1.1516310200022417,2026-07-28T09:02:22.911995+00:00
21,1.2660332918167114,47.999998927116394,1.1754856599873165,2026-07-28T09:02:34.047045+00:00
22,1.3078099489212036,37.99999952316284,1.1532589599664789,2026-07-28T09:02:45.370196+00:00
23,1.4677528142929077,37.99999952316284,1.1584660800144775,2026-07-28T09:02:56.544277+00:00
24,1.4828447103500366,39.99999761581421,1.1423804399964865,2026-07-28T09:03:18.657950+00:00
25,1.3382983207702637,47.999998927116394,1.1910775599972112,2026-07-28T09:03:29.736155+00:00
26,1.1127642393112183,53.999996185302734,1.1628513200048474,2026-07-28T09:03:40.918240+00:00
27,0.9757731556892395,68.00000071525574,1.1804698600099073,2026-07-28T09:03:52.162879+00:00
28,1.3085278272628784,51.99999809265137,1.1485916399760754,2026-07-28T09:04:14.482556+00:00
29,1.0602562427520752,68.00000071525574,1.1577874399881694,2026-07-28T09:04:25.562945+00:00
30,1.1608487367630005,59.99999642372131,1.143360739988566,2026-07-28T09:04:36.733044+00:00
31,1.6243306398391724,34.00000035762787,1.1587719999806723,2026-07-28T09:04:47.912942+00:00
32,1.547760009765625,50.0,1.1319100800028536,2026-07-28T09:05:10.133839+00:00
33,0.8653352856636047,65.99999666213989,1.1184124999999767,2026-07-28T09:05:21.286479+00:00
34,0.6467541456222534,77.99999713897705,1.2022945799981244,2026-07-28T09:05:32.496223+00:00
35,1.1507045030593872,51.99999809265137,1.1573798000245006,2026-07-28T09:05:43.560508+00:00
36,1.0949928760528564,51.99999809265137,1.1718878399915411,2026-07-28T09:05:55.172791+00:00
37,1.08266282081604,56.00000023841858,1.2430124199818238,2026-07-28T09:06:06.381030+00:00
38,0.9297875761985779,59.99999642372131,1.1366949399962323,2026-07-28T09:06:28.461059+00:00
39,1.1627990007400513,53.999996185302734,1.2526614400121616,2026-07-28T09:06:50.451451+00:00
40,0.8363388180732727,69.9999988079071,1.2162556999828666,2026-07-28T09:07:01.744904+00:00
41,1.4747942686080933,41.999998688697815,1.185222040003282,2026-07-28T09:07:12.951700+00:00
42,0.9081854224205017,68.00000071525574,1.2974170400048024,2026-07-28T09:07:24.145287+00:00
