episode,loss,acc,inf_ms,timestamp
0,20.381378173828125,47.14285731315613,2.4615828571508507,2026-07-27T15:42:48.621001+00:00
1,31.209897994995117,41.428571939468384,1.7614528141816015,2026-07-27T15:42:59.976454+00:00
2,8.085087776184082,82.85714387893677,1.746407757205556,2026-07-27T15:43:22.988072+00:00
3,12.898115158081055,71.42857313156128,1.824228914379741,2026-07-27T15:43:46.426427+00:00
4,9.273848533630371,78.57142686843872,1.7803290143742092,2026-07-27T15:43:57.720967+00:00
5,8.645939826965332,85.71428656578064,3.4652940143132582,2026-07-27T15:44:20.934634+00:00
6,11.9263916015625,78.57142686843872,1.7759801144295906,2026-07-27T15:44:43.960227+00:00
7,4.0476908683776855,89.99999761581421,1.8684014285099693,2026-07-27T15:44:55.286019+00:00
8,12.00122356414795,78.57142686843872,1.7423533572582528,2026-07-27T15:45:18.349100+00:00
9,10.693458557128906,75.71428418159485,2.160088385738033,2026-07-27T15:45:29.950186+00:00
10,4.963600158691406,92.85714626312256,1.7724749000210849,2026-07-27T15:45:41.297034+00:00
11,5.305905342102051,89.99999761581421,1.7817747571306037,2026-07-27T15:45:52.524222+00:00
12,8.873533248901367,88.57142925262451,1.8118065000245616,2026-07-27T15:46:03.913912+00:00
13,3.8321545124053955,91.42857193946838,1.7096265713917091,2026-07-27T15:46:15.156298+00:00
14,5.653351783752441,91.42857193946838,1.7942965858050488,2026-07-27T15:46:26.572520+00:00
15,7.877942085266113,87.14285492897034,1.7383161142268884,2026-07-27T15:46:37.930496+00:00
16,6.2116169929504395,84.28571224212646,1.8052709428177747,2026-07-27T15:46:49.252521+00:00
17,4.612792015075684,94.28571462631226,1.7422430570669738,2026-07-27T15:47:00.323504+00:00
18,8.526664733886719,82.85714387893677,1.7184685142378189,2026-07-27T15:47:11.725788+00:00
19,10.049745559692383,91.42857193946838,1.8137161572147826,2026-07-27T15:47:23.172528+00:00
20,4.692160129547119,89.99999761581421,1.7957732428580389,2026-07-27T15:47:34.616487+00:00
21,2.5447871685028076,91.42857193946838,1.8759064428325345,2026-07-27T15:47:57.976580+00:00
22,7.778280258178711,75.71428418159485,1.7590689142317777,2026-07-27T15:48:20.809838+00:00
23,3.477710485458374,94.28571462631226,1.7863280572263256,2026-07-27T15:48:32.183574+00:00
24,13.340700149536133,71.42857313156128,1.786385542696475,2026-07-27T15:48:43.822729+00:00
25,5.773139953613281,82.85714387893677,1.9100481999755303,2026-07-27T15:48:55.600751+00:00
