method,backbone,n_way,k_shot,split,loss_mean,acc_mean,acc_std,inf_ms_mean,n_episodes,timestamp
siamese,wide_resnet50_2,5,10,test,0.16645782214589416,98.09999832510948,3.7934160014823224,0.02023354520351859,200,2026-08-02T06:24:11.959932+00:00
siamese,wide_resnet50_2,7,1,test,0.18547126768156885,93.67857238650322,6.959705906066484,0.015500241071484715,200,2026-08-02T10:47:03.411761+00:00
siamese,wide_resnet50_2,7,5,test,0.18080793922767044,95.55714392662048,5.344824663995603,0.016973507639444763,200,2026-08-02T15:16:34.055542+00:00
siamese,wide_resnet50_2,7,10,test,0.10997082182206214,97.40000090003014,4.407229936071596,0.02634041942837939,200,2026-08-02T21:31:49.182806+00:00
relationnet,mobilenetv4_conv_small.e2400_r224_in1k,5,1,test,0.18285668469965458,20.1799991466105,2.7216906989459293,1.0007952481973916,200,2026-08-03T16:56:12.237105+00:00
relationnet,mobilenetv4_conv_small.e2400_r224_in1k,5,5,test,0.16127800337970258,21.219999309629202,3.7458776652087034,0.9681155073078116,200,2026-08-03T20:58:01.450932+00:00
relationnet,mobilenetv4_conv_small.e2400_r224_in1k,5,10,test,0.11910305172204971,61.84999838471413,10.491782408568485,1.0080610034943676,200,2026-08-04T00:57:04.842220+00:00
relationnet,mobilenetv4_conv_small.e2400_r224_in1k,7,1,test,0.13248707115650177,14.37857200205326,1.571931765946311,0.7085203660036704,200,2026-08-04T05:08:53.639801+00:00
relationnet,mobilenetv4_conv_small.e2400_r224_in1k,7,5,test,0.12373416665941477,14.492857659235597,2.504679326214079,0.7357537211424382,200,2026-08-05T12:02:23.850828+00:00
relationnet,mobilenetv4_conv_small.e2400_r224_in1k,7,10,test,0.08553830662742257,67.9357146769762,9.036995548878567,0.6765537733561879,200,2026-08-05T16:13:49.040689+00:00
relationnet,tf_efficientnetv2_s.in21k,5,1,test,0.19999982476234435,19.999998807907104,0.0,2.25051068940229,200,2026-08-05T20:17:51.287049+00:00
relationnet,tf_efficientnetv2_s.in21k,5,5,test,0.20000000298023224,19.999998807907104,0.0,2.1764401108011953,200,2026-08-06T00:21:31.621028+00:00
relationnet,tf_efficientnetv2_s.in21k,5,10,test,0.20000000298023224,19.999998807907104,0.0,2.2548495018840184,200,2026-08-06T04:34:11.950189+00:00
relationnet,tf_efficientnetv2_s.in21k,7,1,test,0.1428571343421936,14.27857206761837,0.10076239384884922,1.6728023979963575,200,2026-08-06T19:14:58.057064+00:00
relationnet,tf_efficientnetv2_s.in21k,7,5,test,0.1428571343421936,14.28571492433548,0.0,1.6506371887122182,200,2026-08-06T23:43:54.427980+00:00
relationnet,tf_efficientnetv2_s.in21k,7,10,test,0.1428571343421936,14.28571492433548,0.0,1.674335036996386,200,2026-08-07T04:12:56.517532+00:00
relationnet,wide_resnet50_2,5,1,test,0.1332767915353179,48.80999883264303,12.142647773674542,1.1924562298003365,200,2026-08-12T07:23:45.036592+00:00
relationnet,wide_resnet50_2,5,5,test,0.07612788943573832,82.81999787688255,9.523003349824219,1.1015904196043267,200,2026-08-12T11:55:22.446374+00:00
relationnet,wide_resnet50_2,5,10,test,0.05164023350458592,92.22999784350395,6.251967685692983,1.1277019042994652,200,2026-08-12T16:24:44.306381+00:00
relationnet,wide_resnet50_2,7,1,test,0.08580130904912948,69.90000028908253,10.642147356947767,0.7830814001395733,200,2026-08-12T21:01:30.042740+00:00
relationnet,wide_resnet50_2,7,5,test,0.02956105460645631,91.82142901420593,5.134791146076272,0.7917590294964612,200,2026-08-13T01:41:04.296276+00:00
relationnet,wide_resnet50_2,7,10,test,0.03888425874523818,90.24285757541656,5.769572835130735,0.7969822021436163,200,2026-08-13T06:32:20.724412+00:00
feat,mobilenetv4_conv_small.e2400_r224_in1k,5,1,test,1.6093154591321945,20.869999386370182,5.046097416826384,1.008363652609114,200,2026-08-13T10:43:47.865409+00:00
feat,mobilenetv4_conv_small.e2400_r224_in1k,5,5,test,1.6090868681669235,21.63999940082431,5.324509272432233,1.0053052339964779,200,2026-08-13T14:58:36.060862+00:00
feat,mobilenetv4_conv_small.e2400_r224_in1k,5,10,test,1.5857297104597092,27.989999398589134,5.442416733926006,1.0491865603966288,200,2026-08-14T09:43:39.866406+00:00
feat,mobilenetv4_conv_small.e2400_r224_in1k,7,1,test,1.945819753408432,14.8785719294101,3.182469531537709,0.7557685993555684,200,2026-08-14T13:58:34.038962+00:00
feat,mobilenetv4_conv_small.e2400_r224_in1k,7,5,test,0.07881425769068301,98.0500011742115,2.850626506234297,0.7271821168578754,200,2026-08-17T08:33:03.948416+00:00
feat,mobilenetv4_conv_small.e2400_r224_in1k,7,10,test,1.7233683633804322,29.371429547667503,4.626101744718209,0.6658276884978217,200,2026-08-17T12:57:22.027439+00:00
feat,tf_efficientnetv2_s.in21k,5,1,test,1.6079017668962479,24.119999390095472,6.348669109891021,2.392965332697531,200,2026-08-18T08:46:24.993200+00:00
feat,tf_efficientnetv2_s.in21k,5,5,test,1.5989198249578476,24.179999375715852,6.588444305401373,2.3280449768004474,200,2026-08-18T12:59:53.673531+00:00
feat,tf_efficientnetv2_s.in21k,5,10,test,1.606670595407486,22.689999422058463,5.641267522125101,2.374973000899627,200,2026-08-19T06:52:58.333843+00:00
feat,tf_efficientnetv2_s.in21k,7,1,test,1.9417545557022096,16.82857189141214,4.533683554201126,1.7364261295006145,200,2026-08-19T11:28:43.185733+00:00
feat,tf_efficientnetv2_s.in21k,7,5,test,0.06592768028611318,98.02857229113579,3.4033597882442206,1.710673069925958,200,2026-08-19T16:10:29.426020+00:00
feat,tf_efficientnetv2_s.in21k,7,10,test,1.9299162304401398,19.057143272832036,4.17093932833335,1.6369975710009124,200,2026-08-20T09:13:43.080345+00:00
feat,wide_resnet50_2,5,1,test,1.6094463688135148,19.50999944843352,4.802072424612499,1.0035878103008145,200,2026-08-20T13:24:07.309569+00:00
feat,wide_resnet50_2,5,5,test,0.07031880286871456,98.08999851346016,3.5625697480422533,1.0052865432001454,200,2026-08-21T06:30:33.541367+00:00
feat,wide_resnet50_2,5,10,test,0.07452751408331096,97.89999833703041,3.3808290055545136,0.9832121477007604,200,2026-08-21T10:47:45.246032+00:00
feat,wide_resnet50_2,7,1,test,0.13730647703283466,95.51428678631783,5.343392415728522,0.6851952465019298,200,2026-08-21T15:11:54.224976+00:00
feat,wide_resnet50_2,7,5,test,0.05002611489617266,98.25000089406967,3.131269347276608,0.7720764590015148,200,2026-08-22T09:50:13.968729+00:00
feat,wide_resnet50_2,7,10,test,0.05405695964582265,98.48571559786797,2.380361679986231,0.783881712148806,200,2026-08-22T14:46:26.448143+00:00
frozen_centroid,tf_efficientnetv2_s.in21k,5,1,test,10.195359480381011,23.029999315738678,6.235310565736189,0.04383242300173151,200,2026-08-22T14:56:01.903575+00:00
linear_finetune_s20_lr0.001,tf_efficientnetv2_s.in21k,5,1,test,2.872425354719162,23.2599993981421,5.984346151327735,0.3968003907066304,200,2026-08-22T15:05:23.678748+00:00
linear_finetune_s20_lr0.01,tf_efficientnetv2_s.in21k,5,1,test,12.508871738910676,23.1099994443357,5.634527384475917,0.388211313404463,200,2026-08-22T15:14:43.163534+00:00
linear_finetune_s50_lr0.001,tf_efficientnetv2_s.in21k,5,1,test,3.264913491606712,23.80999931693077,6.1793121655417105,0.8992899290999048,200,2026-08-22T15:24:07.220540+00:00
linear_finetune_s50_lr0.01,tf_efficientnetv2_s.in21k,5,1,test,13.652517664432526,23.399999350309372,6.1318837870678164,0.9279096209043928,200,2026-08-22T15:33:25.222463+00:00
linear_finetune_s100_lr0.001,tf_efficientnetv2_s.in21k,5,1,test,3.22870388507843,24.84999930858612,6.491340178409301,1.7633051651951974,200,2026-08-22T15:43:04.708769+00:00
linear_finetune_s100_lr0.01,tf_efficientnetv2_s.in21k,5,1,test,14.136349568367004,23.51999943330884,6.050586660401803,1.8052427797963901,200,2026-08-22T15:52:38.328564+00:00
frozen_centroid,tf_efficientnetv2_s.in21k,5,5,test,4.880042989850044,26.91999926790595,6.458606464725583,0.02270571039407514,200,2026-08-22T16:02:16.271600+00:00
linear_finetune_s20_lr0.001,tf_efficientnetv2_s.in21k,5,5,test,1.917448217868805,31.90999910980463,7.476088307019352,0.3984343834985339,200,2026-08-22T16:12:19.509226+00:00
linear_finetune_s20_lr0.01,tf_efficientnetv2_s.in21k,5,5,test,5.282721890211105,31.589999247342348,7.414303596748376,0.3914094268024201,200,2026-08-22T16:21:58.031206+00:00
linear_finetune_s50_lr0.001,tf_efficientnetv2_s.in21k,5,5,test,2.164992544054985,33.089999094605446,7.437196830070656,0.8270152767992386,200,2026-08-23T05:47:08.033651+00:00
linear_finetune_s50_lr0.01,tf_efficientnetv2_s.in21k,5,5,test,5.7428278994560245,32.35999916493893,6.924622556463768,0.8063604023994231,200,2026-08-23T05:56:21.481438+00:00
